entity,description,primary_keys,foreign_keys,invariants,statuses_enums,evidence_paths
accounts,Chart of Accounts,id,,soft_delete:deletedAt; unique:[accountNumber],accountType=[ASSET|LIABILITY|EQUITY|REVENUE|EXPENSE]; normalBalance=[DEBIT|CREDIT],drizzle/schema.ts
achievements,Achievement Definitions,id,,unique:[code],category=[SPENDING|ORDERS|LOYALTY|REFERRALS|ENGAGEMENT|SPECIAL]; medal=[BRONZE|SILVER|GOLD|PLATINUM]; requirementType=[TOTAL_SPENT|ORDER_COUNT|CONSECUTIVE_MONTHS|ACCOUNT_AGE_DAYS|REFERRAL_COUNT|REFERRAL_REVENUE|ACTIVITY_SCORE|MANUAL],drizzle/schema-gamification.ts
adminImpersonationActions,Admin Impersonation Actions,id,,,,drizzle/schema-vip-portal.ts
adminImpersonationSessions,Admin Impersonation Sessions,id,adminUserId->users.id (onDelete:cascade); clientId->clients.id (onDelete:cascade); revokedBy->users.id,unique:[sessionGuid],,drizzle/schema-vip-portal.ts
alertConfigurations,Alert Configurations,id,userId->users.id (onDelete:cascade),,alertType=[LOW_STOCK|EXPIRING_BATCH|OVERDUE_PAYMENT|HIGH_VALUE_ORDER|SAMPLE_CONVERSION|CUSTOM]; targetType=[GLOBAL|PRODUCT|BATCH|CLIENT|CATEGORY]; thresholdOperator=[LESS_THAN|GREATER_THAN|EQUALS]; deliveryMethod=[DASHBOARD|EMAIL|BOTH],drizzle/schema.ts
appointmentCheckIns,Appointment Check-ins table,id,calendarEventId->calendarEvents.id (onDelete:cascade); clientId->clients.id (onDelete:set null); handledById->users.id,,status=[waiting|checked_in|in_progress|completed|no_show],drizzle/schema-scheduling.ts
appointmentReferrals,Appointment Referrals table,id,calendarEventId->calendarEvents.id (onDelete:cascade); referringClientId->clients.id (onDelete:set null); referringEmployeeId->users.id (onDelete:set null),,referralSource=[existing_client|employee|website|social_media|advertisement|trade_show|other],drizzle/schema-scheduling.ts
appointmentRequests,Appointment Requests table (CAL-003),id,calendarId->calendars.id (onDelete:cascade); appointmentTypeId->appointmentTypes.id (onDelete:cascade); respondedById->users.id (onDelete:set null); calendarEventId->calendarEvents.id (onDelete:set null),,,drizzle/schema.ts
appointmentStatusHistory,Appointment Status History table,id,,,,drizzle/schema-scheduling.ts
appointmentTypes,Appointment Types table (CAL-002),id,calendarId->calendars.id (onDelete:cascade),,,drizzle/schema.ts
auditLogs,Audit Log table,id,,soft_delete:deletedAt,,drizzle/schema.ts
bankAccounts,Bank Accounts,id,,soft_delete:deletedAt,accountType=[CHECKING|SAVINGS|MONEY_MARKET|CREDIT_CARD],drizzle/schema.ts
bankTransactions,Bank Transactions,id,,soft_delete:deletedAt,transactionType=[DEPOSIT|WITHDRAWAL|TRANSFER|FEE|INTEREST],drizzle/schema.ts
batches,Batches table,id,statusId->workflowStatuses.id (onDelete:set null); photoSessionEventId->calendarEvents.id (onDelete:set null),soft_delete:deletedAt; optimistic_lock:version; unique:[code|sku],batchStatus=[AWAITING_INTAKE|LIVE|PHOTOGRAPHY_COMPLETE|ON_HOLD|QUARANTINED|SOLD_OUT|CLOSED]; cogsMode=[FIXED|RANGE]; paymentTerms=[COD|NET_7|NET_15|NET_30|CONSIGNMENT|PARTIAL]; ownershipType=[CONSIGNED|OFFICE_OWNED|SAMPLE],drizzle/schema.ts
batchLocations,Batch Locations table,id,,soft_delete:deletedAt,,drizzle/schema.ts
batchStatusHistory,Batch Status History table,id,batchId->batches.id (onDelete:cascade); fromStatusId->workflowStatuses.id (onDelete:set null); toStatusId->workflowStatuses.id (onDelete:restrict); changedBy->users.id (onDelete:restrict),,,drizzle/schema.ts
batchZoneAssignments,Batch Zone Assignments table,id,batchId->batches.id (onDelete:cascade); zoneId->storageZones.id (onDelete:cascade); assignedById->users.id,,,drizzle/schema-storage.ts
billLineItems,Bill Line Items,id,,soft_delete:deletedAt,,drizzle/schema.ts
bills,Bills (Accounts Payable),id,,soft_delete:deletedAt; unique:[billNumber],status=[DRAFT|PENDING|APPROVED|PARTIAL|PAID|OVERDUE|VOID],drizzle/schema.ts
brands,Brands table,id,,soft_delete:deletedAt,,drizzle/schema.ts
calendarAvailability,Calendar Availability table (CAL-002),id,calendarId->calendars.id (onDelete:cascade),,,drizzle/schema.ts
calendarBlockedDates,Calendar Blocked Dates table (CAL-002),id,calendarId->calendars.id (onDelete:cascade),,,drizzle/schema.ts
calendarEventAttachments,Calendar Event Attachments table,id,eventId->calendarEvents.id (onDelete:cascade); uploadedBy->users.id,,,drizzle/schema.ts
calendarEventHistory,Calendar Event History table,id,eventId->calendarEvents.id (onDelete:cascade); changedBy->users.id,,changeType=[CREATED|UPDATED|DELETED|RESCHEDULED|CANCELLED|COMPLETED],drizzle/schema.ts
calendarEventInvitations,Calendar Event Invitations table,id,eventId->calendarEvents.id (onDelete:cascade); userId->users.id (onDelete:cascade); clientId->clients.id (onDelete:cascade); overriddenBy->users.id; createdBy->users.id,,inviteeType=[USER|CLIENT|EXTERNAL]; role=[ORGANIZER|REQUIRED|OPTIONAL|OBSERVER]; status=[DRAFT|PENDING|ACCEPTED|DECLINED|AUTO_ACCEPTED|CANCELLED|EXPIRED],drizzle/schema.ts
calendarEventParticipants,Calendar Event Participants table,id,eventId->calendarEvents.id (onDelete:cascade); userId->users.id (onDelete:cascade); addedBy->users.id,,role=[ORGANIZER|REQUIRED|OPTIONAL|OBSERVER]; responseStatus=[PENDING|ACCEPTED|DECLINED|TENTATIVE],drizzle/schema.ts
calendarEventPermissions,Calendar Event Permissions table,id,eventId->calendarEvents.id (onDelete:cascade); grantedBy->users.id,,grantType=[USER|ROLE|TEAM]; permission=[VIEW|EDIT|DELETE|MANAGE],drizzle/schema.ts
calendarEvents,Calendar Events table,id,clientId->clients.id (onDelete:set null); vendorId->vendors.id (onDelete:set null); createdBy->users.id; assignedTo->users.id,soft_delete:deletedAt; optimistic_lock:version,module=[INVENTORY|ACCOUNTING|CLIENTS|VENDORS|ORDERS|SAMPLES|COMPLIANCE|GENERAL]; eventType=[MEETING|DEADLINE|TASK|DELIVERY|PAYMENT_DUE|FOLLOW_UP|AUDIT|INTAKE|PHOTOGRAPHY|BATCH_EXPIRATION|RECURRING_ORDER|SAMPLE_REQUEST|OTHER|AR_COLLECTION|AP_PAYMENT]; status=[SCHEDULED|IN_PROGRESS|COMPLETED|CANCELLED]; priority=[LOW|MEDIUM|HIGH|URGENT]; visibility=[PRIVATE|TEAM|COMPANY|PUBLIC],drizzle/schema.ts
calendarInvitationHistory,Calendar Invitation History table,id,performedBy->users.id,,action=[CREATED|SENT|ACCEPTED|DECLINED|AUTO_ACCEPTED|CANCELLED|EXPIRED|ADMIN_OVERRIDE|RESENT],drizzle/schema.ts
calendarInvitationSettings,Calendar Invitation Settings table,id,userId->users.id (onDelete:cascade),unique:[userId],,drizzle/schema.ts
calendarRecurrenceInstances,Calendar Recurrence Instances table (Materialized),id,modifiedAssignedTo->users.id; modifiedBy->users.id,,status=[GENERATED|MODIFIED|CANCELLED],drizzle/schema.ts
calendarRecurrenceRules,Calendar Recurrence Rules table,id,eventId->calendarEvents.id (onDelete:cascade),unique:[eventId],frequency=[DAILY|WEEKLY|MONTHLY|YEARLY],drizzle/schema.ts
calendarReminders,Calendar Reminders table,id,eventId->calendarEvents.id (onDelete:cascade); userId->users.id (onDelete:cascade),,method=[IN_APP|EMAIL|BOTH]; status=[PENDING|SENT|FAILED|CANCELLED],drizzle/schema.ts
calendars,Calendars table (CAL-001),id,ownerId->users.id (onDelete:set null),,,drizzle/schema.ts
calendarUserAccess,Calendar User Access table (CAL-001),id,calendarId->calendars.id (onDelete:cascade); userId->users.id (onDelete:cascade),,,drizzle/schema.ts
calendarViews,Calendar Views table,id,userId->users.id (onDelete:cascade),,defaultViewType=[MONTH|WEEK|DAY|AGENDA],drizzle/schema.ts
cashLocations,Cash Locations Table,id,,,,drizzle/schema.ts
cashLocationTransactions,Cash Location Transactions Table,id,,,,drizzle/schema.ts
