Domain,Entity,Flow Name,Archetype,tRPC,Type,Procedure Wrapper,Permissions,Permission Mode,Roles,UI Entry Paths,Business Purpose (from code docs),Client References,Related Entities,Implementation Status,Documentation Status,QA Status (Code-Level),Known Issues / Uncertainties,Router File,File Tag
Accounting,accounting,Get ARSummary,View/Search/Report,accounting.getARSummary,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",Get comprehensive AR summary with aging and top debtors,,,API-only / Unreferenced in client,In code only,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get APSummary,View/Search/Report,accounting.getAPSummary,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",Get comprehensive AP summary by vendor,,,API-only / Unreferenced in client,In code only,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Overdue Invoices,View/Search/Report,accounting.getOverdueInvoices,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",Get overdue invoices list,,,API-only / Unreferenced in client,In code only,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Client Statement,View/Search/Report,accounting.getClientStatement,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",Get client statement with invoices and payments,,,API-only / Unreferenced in client,In code only,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get Overdue Bills,View/Search/Report,accounting.getOverdueBills,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",Get overdue bills (AP) list,,,API-only / Unreferenced in client,In code only,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,List,View/Search/Report,accounting.list,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Id,View/Search/Report,accounting.getById,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Get By Number,View/Search/Report,accounting.getByNumber,query,protectedProcedure,accounting:read,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Create,Create,accounting.create,mutation,protectedProcedure,accounting:create,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
Accounting,accounting,Update,Update,accounting.update,mutation,protectedProcedure,accounting:update,all,Super Admin (or legacy-admin bypass),"/accounting, /accounting/bank-accounts, /accounting/bank-transactions, /accounting/bills, /accounting/chart-of-accounts, /accounting/dashboard, /accounting/expenses, /accounting/fiscal-periods, /accounting/general-ledger, /accounting/invoices, /accounting/payments",,,,API-only / Unreferenced in client,Not documented,Not reviewed,Permission string not present in RBAC seed (likely Super Admin/legacy only until harmonized),server/routers/accounting.ts,prod
