capability_id,type,name,source,detail,line,component
KEY-001,keyboard,"WorkSurface keyboard contract","InventoryWorkSurface","Keyboard navigation hook",91,InventoryWorkSurface
EXP-002,export,"Export hook","InventoryWorkSurface","Export functionality via useExport",95,InventoryWorkSurface
EXP-003,export,"export","InventoryWorkSurface","Export/download action",532,InventoryWorkSurface
QUE-005,query,"inventory.getEnhanced","trpc.inventory.getEnhanced.useQuery","Query: inventory.getEnhanced",637,InventoryWorkSurface
QUE-006,query,"inventory.list","trpc.inventory.list.useQuery","Query: inventory.list",672,InventoryWorkSurface
QUE-007,query,"inventory.dashboardStats","trpc.inventory.dashboardStats.useQuery","Query: inventory.dashboardStats",692,InventoryWorkSurface
MUT-008,mutation,"inventory.updateStatus","trpc.inventory.updateStatus.useMutation","Mutation: inventory.updateStatus",1059,InventoryWorkSurface
MUT-009,mutation,"inventory.adjustQty","trpc.inventory.adjustQty.useMutation","Mutation: inventory.adjustQty",1060,InventoryWorkSurface
MUT-010,mutation,"inventory.bulk.restore","trpc.inventory.bulk.restore.useMutation","Mutation: inventory.bulk.restore",1061,InventoryWorkSurface
MUT-012,mutation,"inventory.bulk.updateStatus","trpc.inventory.bulk.updateStatus.useMutation","Mutation: inventory.bulk.updateStatus",1080,InventoryWorkSurface
MUT-013,mutation,"inventory.bulk.delete","trpc.inventory.bulk.delete.useMutation","Mutation: inventory.bulk.delete",1102,InventoryWorkSurface
EXP-016,export,"ExportCsv","InventoryWorkSurface","Export/download action",1569,InventoryWorkSurface
EXP-017,export,"Export","InventoryWorkSurface","Export/download action",1575,InventoryWorkSurface
KEY-018,keyboard,"id","InventoryWorkSurface","Keyboard shortcut",1619,InventoryWorkSurface
KEY-019,keyboard,"sku","InventoryWorkSurface","Keyboard shortcut",1620,InventoryWorkSurface
KEY-020,keyboard,"productName","InventoryWorkSurface","Keyboard shortcut",1621,InventoryWorkSurface
KEY-021,keyboard,"category","InventoryWorkSurface","Keyboard shortcut",1622,InventoryWorkSurface
KEY-022,keyboard,"subcategory","InventoryWorkSurface","Keyboard shortcut",1623,InventoryWorkSurface
KEY-023,keyboard,"vendor","InventoryWorkSurface","Keyboard shortcut",1624,InventoryWorkSurface
KEY-024,keyboard,"brand","InventoryWorkSurface","Keyboard shortcut",1625,InventoryWorkSurface
KEY-025,keyboard,"grade","InventoryWorkSurface","Keyboard shortcut",1626,InventoryWorkSurface
KEY-026,keyboard,"status","InventoryWorkSurface","Keyboard shortcut",1627,InventoryWorkSurface
KEY-027,keyboard,"onHand","InventoryWorkSurface","Keyboard shortcut",1628,InventoryWorkSurface
KEY-028,keyboard,"reserved","InventoryWorkSurface","Keyboard shortcut",1629,InventoryWorkSurface
KEY-029,keyboard,"quarantine","InventoryWorkSurface","Keyboard shortcut",1630,InventoryWorkSurface
KEY-030,keyboard,"hold","InventoryWorkSurface","Keyboard shortcut",1631,InventoryWorkSurface
KEY-031,keyboard,"available","InventoryWorkSurface","Keyboard shortcut",1632,InventoryWorkSurface
KEY-032,keyboard,"unitCogs","InventoryWorkSurface","Keyboard shortcut",1633,InventoryWorkSurface
KEY-033,keyboard,"totalValue","InventoryWorkSurface","Keyboard shortcut",1634,InventoryWorkSurface
KEY-034,keyboard,"purchaseDate","InventoryWorkSurface","Keyboard shortcut",1635,InventoryWorkSurface
