Domain,Total Flows,Tested,Passed,Failed,Skipped,Pass Rate,Coverage,Status
Auth,4,1,1,0,3,100.0%,25.0%,Partial
CRM/Clients,29,10,8,2,19,80.0%,34.5%,Partial
Inventory,37,12,10,2,25,83.3%,32.4%,Partial
Orders,37,5,1,4,32,20.0%,13.5%,Critical Gap
Accounting,52,9,0,9,43,0.0%,17.3%,Critical Gap
Dashboard,12,8,2,6,4,25.0%,66.7%,Partial
Analytics,8,3,3,0,5,100.0%,37.5%,Good
Pricing,16,3,2,1,13,66.7%,18.8%,Partial
Calendar,34,3,0,3,31,0.0%,8.8%,Critical Gap
Workflow/Todo,13,5,2,3,8,40.0%,38.5%,Partial
Admin,27,10,6,4,17,60.0%,37.0%,Partial
VIP Portal,8,1,0,1,7,0.0%,12.5%,Critical Gap
Search/Reports,4,1,0,1,3,0.0%,25.0%,Gap
Pick Pack,4,2,0,2,2,0.0%,50.0%,Gap
Vendors,3,1,1,0,2,100.0%,33.3%,Good
Returns,3,1,1,0,2,100.0%,33.3%,Good
Credits,3,1,1,0,2,100.0%,33.3%,Good
Notifications,4,2,0,2,2,0.0%,50.0%,Gap
Health/System,2,1,1,0,1,100.0%,50.0%,Good
DEPRECATED,6,0,0,0,6,N/A,0.0%,Skipped
TOTAL,274,82,40,42,232,48.8%,29.9%,Needs Improvement
