Role,Path,URL,HTTP Status,Result
Super Admin,/accounting/bank-accounts,https://terp-app-b9s35.ondigitalocean.app/accounting/bank-accounts,200,OK
Super Admin,/accounting/bank-accounts/1,https://terp-app-b9s35.ondigitalocean.app/accounting/bank-accounts/1,200,OK
Super Admin,/accounting/bank-accounts/new,https://terp-app-b9s35.ondigitalocean.app/accounting/bank-accounts/new,200,Access/NotFound text detected
Super Admin,/accounting/bank-transactions,https://terp-app-b9s35.ondigitalocean.app/accounting/bank-transactions,200,OK
Super Admin,/accounting/bank-transactions/new,https://terp-app-b9s35.ondigitalocean.app/accounting/bank-transactions/new,200,Access/NotFound text detected
Super Admin,/accounting/chart-of-accounts,https://terp-app-b9s35.ondigitalocean.app/accounting/chart-of-accounts,200,OK
Super Admin,/accounting/chart-of-accounts/1,https://terp-app-b9s35.ondigitalocean.app/accounting/chart-of-accounts/1,200,OK
Super Admin,/accounting/clients/1,https://terp-app-b9s35.ondigitalocean.app/accounting/clients/1,200,OK
Super Admin,/accounting/dashboard,https://terp-app-b9s35.ondigitalocean.app/accounting/dashboard,200,OK
Super Admin,/accounting/expenses,https://terp-app-b9s35.ondigitalocean.app/accounting/expenses,200,OK
Super Admin,/accounting/expenses/1,https://terp-app-b9s35.ondigitalocean.app/accounting/expenses/1,200,OK
Super Admin,/accounting/expenses/new,https://terp-app-b9s35.ondigitalocean.app/accounting/expenses/new,200,OK
Super Admin,/accounting/fiscal-periods,https://terp-app-b9s35.ondigitalocean.app/accounting/fiscal-periods,200,OK
Super Admin,/accounting/fiscal-periods/1,https://terp-app-b9s35.ondigitalocean.app/accounting/fiscal-periods/1,200,OK
Super Admin,/accounting/fiscal-periods/new,https://terp-app-b9s35.ondigitalocean.app/accounting/fiscal-periods/new,200,Access/NotFound text detected
Super Admin,/accounting/general-ledger,https://terp-app-b9s35.ondigitalocean.app/accounting/general-ledger,200,OK
Super Admin,/accounting/invoices,https://terp-app-b9s35.ondigitalocean.app/accounting/invoices,200,OK
Super Admin,/accounting/invoices/1,https://terp-app-b9s35.ondigitalocean.app/accounting/invoices/1,200,Access/NotFound text detected
Super Admin,/accounting/payments,https://terp-app-b9s35.ondigitalocean.app/accounting/payments,200,OK
Super Admin,/admin/audit,https://terp-app-b9s35.ondigitalocean.app/admin/audit,200,Access/NotFound text detected
Super Admin,/admin/monitoring,https://terp-app-b9s35.ondigitalocean.app/admin/monitoring,200,Access/NotFound text detected
Super Admin,/admin/roles,https://terp-app-b9s35.ondigitalocean.app/admin/roles,200,OK
