Role,Authentication Status,Allowed Navigation,Disallowed Navigation,Notes
Super Admin,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,
Owner/Executive,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,Role not in USER_FLOW_MATRIX
Operations Manager,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,Role not in USER_FLOW_MATRIX
Sales Manager,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,
Accountant,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,Role name differs from USER_FLOW_MATRIX (Accounting Manager)
Inventory Manager,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,
Buyer/Procurement,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,Role not in USER_FLOW_MATRIX
Customer Service,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,Role not in USER_FLOW_MATRIX
Warehouse Staff,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,Role not in USER_FLOW_MATRIX
Read-Only Auditor,Authenticated,Dashboard; Clients; Orders; Invoices; Products; Batches; Samples; Purchase Orders; Spreadsheet View; AR/AP; Credit Settings; Reports; Users; Settings; Calendar,,
Accounting Manager,Blocked - credentials not provided,,,No credential provided for Accounting Manager role
Sales Rep,Blocked - credentials not provided,,,No credential provided for Sales Rep role
Purchasing Manager,Blocked - credentials not provided,,,No credential provided for Purchasing Manager role
Fulfillment,Blocked - credentials not provided,,,No credential provided for Fulfillment role
Manager,Blocked - credentials not provided,,,No credential provided for Manager role
All Authenticated Users,Blocked - credentials not provided,,,Role designation not mapped to provided credentials
All Users,Blocked - credentials not provided,,,Role designation not mapped to provided credentials
